Description,Eligibility,FO Reference,GO ID,Primary Category,Secondary Category,Title
"The IFAM program is a temporary, emergency measure in response to an extraordinary situation. The IFAM program gives Australian businesses more time to re-engineer their business models and adjust to a new and more challenging environment created by COVID-19. 
 The intended outcomes of the IFAM grants are to: 
 • increase the volume of Australian outbound freight (and inbound medical supplies) to encourage the return of international freight providers; 
 • reduce the impact on exporters of Australian high-value and time-sensitive perishable products, of freight cost increases caused by the COVID-19 impact; and 
 • enable Australian exporters of high-value and time-sensitive perishable products to keep exporting and thereby keep Australian employees in jobs during the economic crisis caused by COVID-19.   ","To be eligible to receive a grant the prospective grantee must be providing freight forwarding services or airfreight services for eligible products on behalf of an Australian business/company which must: 
 • have an Australian Business Number (ABN) 
 • be registered for the purposes of GST 
 • be a permanent resident of Australia 
 • have an account with an Australian financial institution 
 To be eligible, the grant activity must be: 
 • an outgoing flight carrying Australian high-value and time-sensitive perishable products to key Australian markets for that product, which was requested by, and arranged in conjunction with, an Australian exporter of that product; or 
 • an incoming flight carrying medical supplies, medicines and equipment to support Australia’s health response or items of national significance. 
 The grant can only be used for the purpose of partially offsetting the agreed increased cost of freight for export or import of the eligible products, resulting from COVID-19.",,GO4665,181000 - Disaster Relief,,International Freight Assistance Mechanism
"The IFAM program is a temporary, emergency measure in response to an extraordinary situation. The Tranche 2 of IFAM gives Australian businesses more time to re-engineer their business models and adjust to a new and more challenging environment created by COVID-19. 
 The intended outcomes of the IFAM grants are to: 
 • increase the volume of Australian outbound freight (and inbound medical supplies) to encourage the return of international freight providers; 
 • reduce the impact on exporters of Australian high-value and time-sensitive perishable products, of freight cost increases caused by the COVID-19 impact; and 
 • enable Australian exporters of high-value and time-sensitive perishable products to keep exporting and thereby keep Australian employees in jobs during the economic crisis caused by COVID-19.    ","To be eligible to receive a grant the prospective grantee must be providing freight forwarding services or airfreight services for eligible products on behalf of an Australian business/company which must: 
 • have an Australian Business Number (ABN) 
 • be registered for the purposes of GST 
 • be a permanent resident of Australia 
 • have an account with an Australian financial institution 
 To be eligible, the grant activity must be: 
 • an outgoing flight carrying Australian high-value and time-sensitive perishable products to key Australian markets for that product, which was requested by, and arranged in conjunction with, an Australian exporter of that product; or 
 • an incoming flight carrying medical supplies, medicines and equipment to support Australia’s health response or items of national significance. 
 The grant can only be used for the purpose of partially offsetting the agreed increased cost of freight for export or import of the eligible products, resulting from COVID-19.",,GO4439,181000 - Disaster Relief,,International Freight Assistance Mechanism
"The Australian Government is inviting agricultural show societies and field day organisers to apply for a grant to reimburse them for costs they incurred when they had to cancel their scheduled show or agricultural field day in 2020 because of COVID-19. 
 Cash flow support provided through the program will help to ensure the sustainability of agricultural show societies and the agricultural shows they conduct. It will also support the agricultural field day organisers and the agricultural field days they conduct. 
 Agricultural shows and field day events are the most authentic and accessible displays of Australian farming and regional life. They help to bring: 
 
 
 important technology and innovation to agricultural producers 
 
 
 showcase Australia’s diverse agricultural produce and stock 
 
 
 underpin a range of activities that support commercial agricultural enterprise and investment opportunities. 
 
 
 Agricultural shows and field days also deliver significant social and economic benefits to the communities in which they are held. 
 The Community Grants Hub administers the program according to the  Commonwealth Grants Rules and Guidelines 2017  (CGRGs) ."," To be eligible you must be one of the following entity types: Indigenous Corporation  Company Cooperative Incorporated Association Trustee on behalf of a Trust We can only accept applications from eligible entities that: have cancelled their scheduled agricultural show or field day in 2020 because of COVID-19 and are members of Agricultural Shows Australia or are members of a state and territory agricultural show society that is a member of Agricultural Shows Australia or  run Australian agricultural field day events that markets principally to the rural sector with at least 70% of the total exhibit area being agricultural exhibitors (those that have products and services focused at the agricultural and horticultural sectors). The focus of these events must be on commercial agricultural enterprises, investment and innovation. For Capital City Royal Shows A Capital City Royal Show is a ‘royal show’ held for an Australian capital city.  The eligible capital cities and maximum grant available to them are listed in section 3.1.  For Local Shows and Agricultural Field Days Please note the following: Local Shows and Agricultural Field Days that are not scheduled in 2020 are not eligible to apply. Local Shows and Agricultural Field Days that have been postponed in 2020, but not cancelled, are not eligible to apply.  If you become ineligible for this grant opportunity after a grant has been paid because you decide to proceed in 2020 with the local show or field day you had previously cancelled, you will be required to repay the grant funds in full.",,GO4384,111002 - Business Development,,Supporting Agricultural Shows and Field Days Program
"The purpose of the grant opportunity is to provide eligible aged care providers and agencies with funding to pay the retention bonus payments to Eligible Aged Care Workers undertaking direct care services in aged care residential and/or home care. The Aged Care Workforce Retention Grant Program (the program) will run over two financial years from 2019-20 to 2020-21. 
 Payments are made payable based on the average weekly hours worked by the Eligible Aged Care Worker over the four week period prior to the application date (for the first grant payment), 31 August 2020 (for the second payment) and 30 November 2020 (for the third payment) as follows: 
 • An Agency/Broker is to apply for Eligible Aged Care Workers employed by the agency at the relevant Census Dates.   • A provider of approved residential aged care and/or approved home care packages can apply for Eligible Aged Care Workers employed by the provider at the relevant Census Dates, including those who are working across multiple locations for the one provider.  
 Select the ""GO Documents"" red button (on the left-hand side) and then scroll to the bottom to view the updated version of the Grant Opportunity Guidelines (Updated 24 September 2020) for the latest information about this Grant Opportunity. 
 For  Payment 3 Variation information  please select the ""GO Documents"" button and then scroll to the bottom of the page to view Addenda No. 3, the Payment 3 Variation Staffing Profile Spreadsheet and the Payment 3 Declaration Form. 
   
 Previous applicants for this grant opportunity are not required to re-apply.  If you are a new applicant and would like to apply, you must contact  Grant.ATM@health.gov.au  and request an application form.  
 The previous application form is no longer valid and the Department will issue you with an updated application form on receipt of your email.  
   
   
  ","We can only accept applications from:  - Australian Government funded:  - Approved Residential Aged Care Providers;  - Approved Home Care Providers;  - State / Local Government Approved Residential Aged Care and/or Home Care Providers;  - Multipurpose Service Providers;   - Providers delivering aged care services under the Commonwealth National Aboriginal and Torres Strait Islander Flexible Aged Care Program. 
  - Agencies employing aged care workers who are at the first Census Date contracted to provide services for the aged care providers listed above that are eligible to apply for this grant. (Agencies will be required to identify the applicable aged care providers with whom they are contracted to provide aged care workers). 
 - To avoid doubt, eligible aged care providers may apply in respect of Eligible Aged Care Workers they employ; but they are not eligible apply and to receive grant funding in respect of Eligible Aged Care Workers working for them that are employed by Agencies as the agency will apply for them. ",,GO4068,101001 - Aged Care,,Aged Care Workforce Retention
"The Australian Government is inviting entities to apply for grant funding under the Women’s Leadership and Development Program (WLDP) Project Grants. 
 The Australian Government funds the WLDP to deliver a range of projects specifically for Australian women. Additional funding over 2020-21 to 2023-24 was announced in the 2020-21 Budget as part of the 2020 Women’s Economic Security Statement to expand the WLDP to introduce a new women’s job creation priority area and boost existing priority areas. 
 The objective of the WLDP is to improve outcomes for Australian women in six key focus areas: women’s job creation; women’s economic security; women’s workforce participation; women’s leadership; women’s safety; and international engagement. 
 This grant opportunity supports projects that achieve tangible improvements in outcomes linked to the achievement of all, one, or a combination of the key priority areas of the WLDP (note: international engagement will not form part of this grant opportunity). 
 Priority will be given to applicants who can demonstrate how their project complements existing initiatives under the Government’s JobMaker Plan, in particular the JobTrainer Fund, to work in partnership with the Commonwealth. 
 Projects that are scalable, transferable across industries and occupations, and those that focus on supporting women from different backgrounds are strongly encouraged. 
 Projects funded under the 2018-19 WLDP grant opportunity are encouraged to apply for a continuation or expansion of their project.","To be eligible you must be one of the following entity types: 
 
 
 Indigenous Corporation 
 
 
 Company 
 
 
 Cooperative 
 
 
 Incorporated Association 
 
 
 Sole Trader 
 
 
 Statutory Entity 
 
 Partnership. 
 
 If you are applying as a Trustee on behalf of a Trust, the Trustee must have an eligible entity type as listed above. 
 Applications from consortia are acceptable, as long as you have a lead applicant who is solely accountable to the Commonwealth for the delivery of grant activities and is an eligible entity as per the list above.",,GO4529,331005 - Women,,"Women's Leadership and Development Program Project Grants"
"The IFAM program is a temporary, emergency measure in response to an extraordinary situation. IFAM gives Australian businesses more time to re-structure their business models and adjust to a new and more challenging trading environment created by COVID-19. 
 The intended outcomes of the IFAM grants are to: 
 
 re-establish supply chains into and out of Australia, albeit not at pre-COVID19 levels while the pandemic continues; 
 reduce the sudden significant economic impact on businesses that rely on airfreight; and 
 minimise the economic impact of the COVID-19 crisis on Australian workers. 
","To be eligible to receive a grant the prospective grantee must be providing freight forwarding services or airfreight services for eligible products on behalf of an Australian business/company which must (eligible business): 
 
 have an Australian Business Number (ABN) 
 be registered for the purposes of GST 
 have an account with an Australian financial institution 
 
 The prospective grantee must be able to demonstrate they are providing freight forwarding services or airfreight services by stipulating shipment and freight details, as well as product information about eligible products. 
 To be eligible, the grant activity must be for freight on: 
 
  an outgoing flight (or domestic connection) carrying Australian eligible products to key international markets for that product, which was requested by, and arranged in conjunction with, an Australian exporter of that product; or 
 an incoming flight into Australia (or domestic connection) carrying medical supplies, medicines and equipment to support Australia’s health response or items of national significance. 
",,GO4911,181000 - Disaster Relief,,International Freight Assistance Mechanism
"The COVID-19 Aged Care Support Program will reimburse eligible aged care providers for eligible expenditure incurred on managing direct impacts of COVID-19. The Program will run over 2 years from 2019-20 to 2020-21. The Program will assist Residential Aged Care, National Aboriginal and Torres Strait Islander Flexible Aged Care Program and Home Care Package providers that are subject to direct COVID-19 impacts, to deliver continuity of safe quality care for consumers. 
 Please submit your application using the online application form:  https://forms.business.gov.au/smartforms/servlet/SmartForm.html?formCode=PRD00-CVDOH&FRID=4-E4K2MOL&RegID=4-E4RFWF0 
 Select the ""GO Documents"" red button (on the left-hand side) to view all Grant Opportunity documentation.  Please refer to the latest version (0.4) of the Cost Calculator Spreadsheet at Addenda 4. The latest version must be attached to your application form. ","Eligible applicants can apply for funding for each impacted service for the periods between the date on which the resident, staff member or client is tested for COVID-19 and the date on which direct COVID-19 impacts are resolved (i.e. no infected or isolated residents, staff members or clients). Eligible applicants are as follow: * An approved Residential Aged Care provider with one or more services directly impacted by COVID-19; and/or * An approved National Aboriginal Torres Strait Islander Flexible Aged Care Provider with one or more services directly impacted by COVID-19; and/or * An approved Home Care provider one or more services directly impacted by COVID-19.",,GO3844,101001 - Aged Care,,GO3844 - COVID19 - Aged Care Support Program
"Round 2 of the Manufacturing Modernisation Fund supports manufacturers by co-funding capital investments and associated reskilling to: 
 
 adopt new technologies 
 encourage innovation 
 become more productive and competitive in the market and 
 create more jobs. 
 
 The program aims to support small to medium manufacturing enterprises (SMEs) through: 
 
 investment in transformative manufacturing technology and processes 
 jobs growth and a more highly skilled workforce in the manufacturing sector. 
 
 Round 2 will run over 3 years (2020-21 to 2022-23) and supports transformative investments in technologies and processes including: 
 
 buying, constructing, installing or commissioning of manufacturing plant and equipment 
 integrating production-related software that is directly related to your capital investment 
 relevant training and skills development to assist you to integrate the new technology into your business, including upskilling and accreditation in advanced processes 
 process design and engineering directly related to your capital investment 
 fit-out, alterations and/or extensions to buildings directly related to your capital investment. 
 
 The maximum project period is 2 years.","To be eligible you must: 
 
 have an Australian Business Number (ABN) 
 be non-tax exempt 
 be registered for the Goods and Services Tax (GST) 
 
 and be: 
 
 an entity incorporated in Australia, including start-ups, and a trading corporation where your trading activities: 
 
 form a sufficiently significant proportion of your overall activities as to merit it being described as a trading corporation; or 
 are a substantial and not merely peripheral activity of your corporation. 
 
 
 You must also be: 
 
 a manufacturing small and medium-sized Australian enterprise (SME) with up to 199 employees (headcount) 
 have a minimum of $400,000 in eligible project expenditure 
 able to identify the level of Australian job creation expected from your project 
 able to demonstrate your project aligns with one or more of the six National Manufacturing Priorities: 
 
 resources technology and critical minerals processing 
 food and beverage 
 medical products 
 recycling and clean energy 
 defence 
 space. 
 
 
 You must also be able to provide evidence that: 
 
 the project is supported by your board 
 you can complete the project 
 you can meet the costs of the project not covered by grant funding. 
 
 For more information on eligibility please read the Grant opportunity guidelines.",,GO4464,261001 - Industry Innovation,,Manufacturing Modernisation Fund – Round 2
"The  Future Fellowships  scheme supports research in areas of critical national importance by giving outstanding researchers incentives to conduct their research in Australia. The aim of the  Future Fellowships  scheme is to attract and retain the best and brightest mid-career researchers. 
 At present many highly qualified mid-career researchers choose to work overseas to further their careers due to lack of opportunities in Australia. The  Future Fellowships  scheme addresses this problem and will significantly boost Australia's research and innovation capacity in areas of national importance. 
 Future Fellowships provide four-year fellowships to outstanding Australian mid-career researchers. In addition, the ARC may award the Administering Organisation up to $50 000 of non-salary funding per annum which may be used for personnel, equipment, travel and field research costs directly related to the Future Fellow's research. 
 The objectives of the Future Fellowships scheme are to: 
 
 ensure that outstanding mid-career researchers are recruited and retained by Administering Organisations in  continuing academic positions 
 build collaboration across industry and/or research organisations and/or disciplines 
 support research in national priorities that will result in economic, environmental, social and/or cultural benefits for Australia 
 strengthen Australia’s research capacity by supporting innovative, internationally competitive research. 
 
  ","A Proposal may only be submitted through the Research Office of an Eligible Organisation listed in the relevant Funding Rules. Eligibility Criteria for Participants In any year, a person may be nominated on only one  Future Fellowships  Proposal. The Future Fellowship Candidate may be nominated on a maximum of three  Future Fellowship s Proposals over the period in which they are eligible. This includes Proposals that have been withdrawn after the closing time of submission of Proposals and Proposals which were deemed ineligible by the ARC.",,GO545,"381001 - Science, Technology, Engineering and Mathematics (STEM) Research","381002 - Humanities, Arts and Social Sciences (HASS) Research",Future Fellowships commencing in 2018
"The Aviation Services Accreditation Support Program (the Program) will run over six months from 29 March 2021 to 30 September 2021.  
 The Program represents part of the Australian Government’s continued economic response to the Coronavirus, providing financial assistance to Australia’s aviation industry to assist with the impact on the aviation sector from COVID?19. 
 Capital constraints, a workforce that has been underutilised for an extended period, and prolonged uncertainty are all likely to constrain Australian ground handling companies’ ability to adequately service the industry as activity ramps up. A key challenge is ensuring that the workforce is appropriately trained and certified in line with regulatory requirements. 
  A significant portion of aviation ground handling staff have not worked since March 2020 and due to this long period of negligible flying activity, the ground handling workforce are likely to require retraining and reaccreditation to ensure safety standards are maintained for all flights. 
 Noting that ground handling organisations service all aspects of aviation, the Program will provide capped grants to eligible businesses to contribute to mandatory training, certification, and accreditation of ground handling workers essential for the operation of aircraft. This contribution will set a floor to ensure that the sector is in a position to respond as domestic flying activity recovers. It is anticipated that the Program will cover approximately 30% of the training requirements of the pre-COVID workforce. 
 Training support would be available for both new and existing employees, as required to support aviation recovery. 
 The capped grants will not cover the complete training requirements of all employees.  
 As such, the grants should be distributed appropriately by eligible businesses across their workforces to ensure the objectives of the Program can be met.","To be eligible you must: 
 
 have an Australian Business Number (ABN) 
 be registered for the purposes of GST 
 have an account with an Australian financial institution 
 operate an existing business providing ground handling services to airlines within an Australian airport between 29 March 2021 and 30 September 2021. 
 be one of the following entity types: 
 
 
 
 a company incorporated in Australia 
 an incorporated trustee on behalf of a trust 
 an Australian local government body 
 an Australian State/Territory government body 
 an Aboriginal and/or Torres Strait Islander Corporation registered under the  Corporations (Aboriginal and /or Torres Strait Islander) Act 2006 . 
 
",,GO4742,351003 - Transport,,Aviation Services Accreditation Support Program
