,BioText,label1,Interests,label2
606,"I am a Research Fellow of the Australian Centre for
Robotic Vision (ACRV) and The Australian National
University (ANU), where I am honored to work with
 . Prior to that, I was a PhD student at ANU and
Data61-CSIRO, working on weakly-supervised semantic
segmentation of images and videos under supervisions
of  ,  ,  , and  . I was also a deep learning
research engineering intern at  , Amsterdam, working
on self-supervised video representation learning.
Prior to that, I was working in computer vision
industry for more than two years. I received my
M.Science degree in AI from Sharif University of Technology
and B.Science in Software Engineering from
Isfahan University of Technology.",,"Computer Vision & Deep Learning Video and action understanding
Semantic Segmentation Self-supervised
Learning",
608,"Salman was graduated in Mathematics & Physics from
Bahauddin Zakariya University Pakistan & post-graduated
from COMSATS University Islamabad Pakistan by
completing Masters in Computer Science (MCS) & M.Phil
(CS) majoring in Artificial Intelligence, Machine
Learning and Natural Language Processing (NLP).
Excelling in his studies, competing against the
best CS students at COMSATS, Salman was awarded
with   &   for outstanding performance in Academia.
Currently, he is a PhD scholar at The Australian
National University (ANU) on fully funded scholarship
from Govt. of Pakistan. Salman worked as Lecturer
at COMSATS University Islamabad (CUI) - Pakistan,
and as Visiting Lecturer at Federal Urdu University
of Arts Science and Technology (FUUAST). Apart
from academia, Salman is a distinct position holder
in debate and essay writing at National Youth
Festivals within Pakistan. He is a sports man as
well and have won several events while leading his
school, college and University at District, Division
and Province level in Pakistan. From the life
goals of Salman, he aims to develop a free education
system for poor students in the underdeveloped
areas of Pakistan.",,"- Data Extraction and Mining - Information Extraction/Retreival
and Text Processing - Deep Learning,
Artificial Neural Nets - Knowledge based Discovery
(KBD) & Literature Based Discovery (LBD) - Machine
Learning + NLP for Medical - Computational Biology
and Bioinformatics",
610,,,"Acoustic Signal Processing, mainly recording and reproducing
large sound fields using distributed directional
microphones.",
611,,,"Information Retrieval; Software Intensive Systems Engineering;
Human Centric Computing",
613,"I completed my Master of Engineering (Mechanical) at
the University of Melbourne in 2016. In 2015 I worked
as a research assistant in the Fluid Dynamics
lab at Melbourne before completing an exchange semester
at ETH Zurich. My final year Master's thesis
was a combined project with the University of Melbourne
and The Northern Hospital, performing computational
fluid dynamics studies on patient-specific
coronary arteries. In 2017 I commenced my PhD
in Robotic Vision under the supervision of Rob Mahony
at the ANU. My PhD topic is the development of
novel optical flow algorithms capable of running
in real-time for high-speed robotics applications.
I am currently pursuing this research using event
cameras, which are bio-inspired vision sensors with
microsecond temporal resolution. Here are links
to my   and  .",,"My research interests include Dynamic Systems, Computer
Vision and Robotics.",
615,,,"Renewable energy, smart grid, optimisation, multi-agent
systems.",
616,,,Statistical signal and image processing,
619,"I am a research enthusiast in the field of Data Science.
I obtaiend my Masters in Business Administration
from the Cardiff Metropolitan University, UK
in 2016 and BSc.(Hons) in IT and Management from University
of Moratuwa, Sri Lanka in 2018. I'm also
a professional member of BCS (British Computer Society)
since 2013.   I have my research interests
spreaded across many branches of Data Science. I'm
specifically interested in knowledge extraction,
storage and visualization. Alternatively, I conduct
research on record linkage and outlier detection
in networks.   I have worked as a Software Engineer
and have 2 years of experience in the industry.
I also own 8 years of experience working as a lecturer
in IT.",,,
623,,,"Memory Management specially Garbage Collection, Virtual
Machine, Programming Language Design & Implementation",
627,"Ankur Sharma is a ‘Lecturer’ at Research School of
Energy, Electrical and Materials Engineering (RSEEME)
at the Australian National University (ANU). He
received his Ph.D. in Photonics and Nanomaterial
Engineering from ANU in 2019. His research included
developing the first of its kind organic 2D semiconductor
for future flexible and biodegradable electronic
devices.His  received   and several accolades
from within and   the academic fraternity. See
  for detailed media coverage. His current research
areas include working on novel nanomaterials
for Micro and Nano systems for photonics and opto-electronic
applications such as ultrafast miniaturized
transistors, wearable health monitor systems,
flexible displays and solar cell applications. See
 tab. Ankur currently teaches final year undergraduate
students at ANU. He specialized in Systems
Engineering courses and works with Industry partners
to promote problem based learning for Engineering
students a RSEEME, ANU. See   tab. Ankur received
his B.E. from Aligarh Muslim University, India
in 2015 with specialization in Mechanical and Materials
Engineering and was the recipient of one Guinness
World Record (2012) and the prestigious Honorary
Award by the Vice Chancellor of Aligarh Muslim
University for outstanding research credentials.
See the complete list of Awards in the  tab. LinkedIn
 Ankur is also the winner of the prestigious
  competition in 2018. He was part of the team that
made the World's Thinnest Lens in March 2016. He
has also won an Inter-university Entrepreneurship
Competition held at University of South Australia
in July 2017, where he highlighted the commercial
viability of his research.  ",,"Nanomaterials Two Dimensional Materials/Organic Semiconductors
Photonics and Opto-electronics Mechanical
Resonators (MEMS and NEMS)  Systems Engineering
Systems Modelling and Optimisation Systems Design
and Architecture ",
628,"Astha Sharma is a research fellow at the solar PV group,
School of Engineering, College of Engineering
and Computer Science. She recently finished her
PhD within the same group. She is a Physicist and
finds it closely tailored to her personality. Of course,
she is extremely passionate about applying
physics to Energy applications. She is currently supervised
by Dr. Fiona J.Beck, Dr. Kylie Catchpole,
and Dr. Siva Karuturi. Her research interest focuses
on developing low-cost perovskite-silicon tandem
and earth-abundant catalysts based systems for
solar water splitting, as an efficient, clean and
cheaper route to hydrogen production. Astha received
her MSc. degree in Physics from Savitribai Phule
Pune University in 2016. She was awarded INSPIRE
scholarship by Department of Science and Technology,
Government of India during her Bachelors and
Masters (2011-2016).",,"My research interest focuses on developing low-cost
perovskite-silicon tandem and earth-abundant catalysts
based systems for solar water splitting, as
an efficient, clean and cheaper route to hydrogen
production. My research consists of several elements-
",
630,Dr Shaw's current  ,,"Some of my projects include; ENERGY: (1) Community
batteries -- shared energy storage for suburbs (2)
Energy storage to support decarbonisation (3) The
optimal mix of energy storage for Australia's electricity
grid (4) Using smart meter data for increased
visibility and planning of the future grid  BRAIN
IMAGING: (5) Age-related change in structural
architecture of the human brain over the lifespan
(Shaw et al., 2016a; Shaw et al., 2016b) (6) studying
risk-factors for neurodegenerative disease and
how these change over the lifespan (Shaw et al.,
2017a; Shaw et al., 2017b) ",
631,"Dr. Heping Shen is research fellow from the Research
School of Engineeringat ANU. She focuses on developing
low-cost, high-efficiency photovoltaic technologies.
Dr. Shen won her PhDdegree in Material Science
and Engineering from Tsinghua University (QS
ranking #17),focusing on the cutting edge research
of nanomaterial synthesis and application in photovoltaics.
Early in 2018, Dr. Shen achieved record
efficiency for all-thin-film tandem technology
that opens the door to future development in photovoltaic
technologies. (Media report:  ). Dr. Shen
and colleagues also invented a unique, highly-effective
materials-based approach to fabricating simplest
perovskite/Si tandem solar cell, resulting in
prominent optical loss and minimizing the processing
steps.  ",,"Nanomaterial sysnthesis and characterization High-efficiency
optoelectronic device fabrication",
641,,,AI Planning Optimization,
644,"Hi, I am currently working on k/few/one/0-shot problem",,,
645,"He received ACAP research fellowship in 2017. He has
given multiple presentations at international conferences.
He is currently the leading investigator
for the project""Advanced multicrystalline silicon
for high efficiency solar cells"",which involve close
collaboration with one of the world’s largest
PV manufacturers, Jinko Solar, based in China.",,"Hydrogen is known to interact with defects and impurities
in silicon (Si), passivate dangling bonds and
reduce their recombination activities. It is particularly
important for solar cell application. My
research interest is to measure, characterise and
understand the role of hydrogen in solar cells.",
647,"I was born in England but escaped, taught logic in
philosophy departments for several years, escaped
again and moved to Canberra in 1988 where I have been
automating reasoning ever since. I like doing
this. The ANU is an idyllic place to be a researcher,
Canberra is a better city to live in than you
would believe from listening to Australians from anywhere
else, and I actually get paid for thinking
about logic and hacking code! That's as good as it
gets. Other likes: travel, good food (enthusiastic
but inexpert cook), classical music (ditto pianist).
Dislikes: no really interesting ones (sorry).",,"Logic Automatic theorem proving Artificial Intelligence
I aim to make computers better at logical reasoning,
by which I mean not only finding proofs, but
also analysing, diagnosing, planning, modelling
and even explaining situations and events. Years
ago I worked mainly on generalising the standard paradigms
of logic with a view to taking into account
""awkward"" features of reasoning such as vagueness
and inconsistency. Later my research was more concerned
with algorithms for automated reasoning and
related aspects of artificial intelligence. While
continuing to be interested in all of that, I am
currently obsessed with the problem of how implemented
reasoning systems should interact with human
users. This is forcing me to think about a range
of issues, from the nature of explanation to the
technical aspects of visualisation, which are challenging
and fascinating.",
659,"Vi Kie Soo graduated with honours in bachelor of engineering
with major in Electronic and Communication
Systems from the Australian National University
in 2012. In 2013 she commenced her PhD study at the
Australian National University, funded by AutoCRC
research program, on Life Cycle Impact of Different
Joining Decisions on Vehicle Recycling. She has
engaged in a number of field studies in collaboration
with industry and other universities. She is
currently a Postdoctoral Research Fellow, funded
by the ARC Training Centre in Lightweight Automotive
Structures (ATLAS) at the Australian National
University. She ",,"Vi Kie Soo's research interests include sustainable
product development, life cycle engineering and manufacturing
that incorporate a wide range of approaches
such as Life Cycle Assessment, Eco-design,
System Dynamics, or a combination of these methods
towards pragmatic sustainability. She has been involved
in a wide range of projects with a focus on
end-of-life management, design for recyclability,
etc. in collaboration with industry in areas such
as electronic waste, vehicle recyclability and material
recycling. Researching on issues pertaining
to the manufacturing and recycling sectors through
industry engagement has always been her passion
and she is keen to continue research in areas relevant
to sustainable manufacturing and life cycle engineering.
She is interested in engaging with highly
motivated undergraduate students to explore issues
in sustainable manufacturing, end-of-life products,
material circularity, etc. Please feel free
to contact her for any available projects in her
area of research and other tailored projects based
on students' research interest.",
667,"Our work ( ) on pumped hydro energy storage and integration
of renewable energy in Australia has had
wide engagement from industry, government and the
general public, culminating with the award of the
Eureka Prize for Environmental Science in 2018.",,"High penetration of renewable energy in electricity
networks Renewable energy policy Pumped Hydro Energy
Storage High efficiency silicon devices, including
IBC and SLIVER solar cells Tandem solar cell
energy yields GaAs cells for concentrators and tandem
devices Perovskite/Si tandems ",
669,,,"Computer Systems, High Performance Computing My research
focusses around extreme-scale computations,
such as whole-earth climate and gyrokinetic plasma
simulations. These present increasing challenges
in computer science in the aspects of reliability,
scalability, and energy efficiency. I like to tackle
difficult research problems at the cutting edge
of modern computer systems, both in software and
hardware. My specific area can be classified as High
Performance Computing and performance evaluation.
My research involves the development of new algorithms
and techniques, and an exploration of their
properties. It also has a deep anchoring in experimental
practice. It has often involved the construction
of large and complex artefacts, which have
been released as open source or have been delivered
to industrial partners.",
670,"Dr Josua Stuckelberger holds a Masters degree in Physics
from ETH Zurich finishing with a thesis on Kesterite
solar cells. Recently he received his PhD
in Material Science from EPF Lausanne on work about
transparent passivating contacts. The wish to contribute
for a cleaner energy solution guided him
through his positions at EMPA, HSLU and ETH Lausanne
and brought him to ANU to the team of Professor
Daniel Macdonald. His work lead to several contributions
at international conferences and publications
in peer reviewed journals.",,,
671,"Dr Bjorn Sturmberg is a Research Leader in the Battery
Storage and Grid Integration Program where he
is engaged in projects on grid integration of distributed
energy resources and electric vehicles, advanced
sensors, power system security, energy analytics,
policy and regulations, and social acceptance
of new energy technology.   He holds a PhD from
The University of Sydney for his research on nanostructured
solar cells, which earnt him a scholarship
from the Australian Renewable Energy Agency. He
is a former Myer Innovation Fellow and founder of
SunTenants, a social enterprise that makes solar
work for rental properties, and spearheaded the Stucco
Solar + Storage project that transformed an
apartment building into a solar and storage powered
microgrid.   He is a regular contributor to energy
policy discussions in the public press and industry
consultations, and is a passionate open-source
advocate who has developed multiple software packages
that are used internationally.",,"Grid integration; Electric vehicles; Frequency control;
Renewable energy; Energy storage; Energy policy;
Energy equity; Modelling; Open source software;
Power Hardware in the Loop;",
679,"        PhD in CS, and Adj/Prof in CS in the University
of Turku, Finland in 2005, 2009, and 2013, respectively.
She joined The Australian National University
(ANU) College of Engineering and Computer
Science and Data61 as the Team Leader of TAMPA, Theory
and Applications of Multimodal Pattern Analysis
within the Machine Learning (ML) Group after working
in Data61/NICTA as a Team Leader of Natural
Language Processing (NLP) and Senior Researcher in
ML. Hanna has over 100 publications with 60 co-authors
from 10 countries, including Harvard, Karolinska
Institutet, and Max Planck. Her work has been
published in the most prestigious journals, cited
over 1,200 times, and awarded for best papers, ML/NLP-methods,
business-plans, and teaching-units.
She has scored competitive grants with a total value
of over $10-20 million in the past two years alone.",,"Associate Professor Hanna J Suominen develops and evaluatesmachine
learning(ML) methods fornatural language
processing(NLP) and health informatics. Please
do not hesitate to contact Hanna for research
collaboration or summer/long/honours/masters/doctors
projects.",
682,"Mr. Mahdiar Taheri is currently a research fellowat
The Australian National University (ANU) working
in the field of concentrated solar power (CSP) under
the supervision of A/Prof. Joe Coventry. He has
submittedhis PhD thesis, in the field of nanomaterials
at ANU under the supervision of A/Prof. Takuya
Tsuzuki, looking at green and scalable synthesis
methods to produce metal organic frameworks (in
particular zeolitic imidazolate frameworks) for water
remediation, Li-ion batteries and oxygen evolution
reactions. In 2016, Mahdiar was awarded two scholarships
to commence his PhD, and has co-supervised
six honours students since. Previously, he received
his BSc and MSc degree in Materials Engineering
from Iran University of Science and Technology
(IUST), Tehran, Iran and ranked 1  among the undergraduate
students. After MSc graduation in 2013,
he worked as a research assistant at IUST, advising
on industrial and MSc/BSc thesis projects in relation
to ceramic manufacturing and composites. Mahdiar
has co-authored more than 20 peer reviewed papers.
 ",,,
686,"Dr Taylor joined The Australian National University
(ANU) in January 2016. She spent the previous six
months working on a UN 'big data' project with Australian
Bureau of Statistics, after 20 years at CSIRO
as a principal research scientist in the polyonymous
IT research division. She has also worked
as an IT practioner in consulting, publishing, education
and government, in Sydney, Montreal and Oxford.
Her research has focused on data management,
integration, mining and machine learning in interdisciplinary
contexts, especially employing logic-based
and semantic approaches. Much of her recent work
addresses data arising from IoT. She has lectured
in logic programming, networking, software engineering
and agile project management. Currently she
lectures in data mining and convenes the ANU postgraduate
programs in applied data analytics. From
2015-2017 she co-Chaired the joint Spatial Data
on the Web working group of the W3C and the OGC. Kerry
holds a BSc (Hons 1) in Computer Science from
UNSW 1983 and a PhD in Computer Science and Technology
from the ANU in 1996. She is a Visiting Reader
at the University of Surrey UK, and has been a
Visiting Fellow at University of Melbourne. She serves
on the Editorial boards of Knowledge-Based Systems
and International Journal of Distributed Sensor
Networks and many conference programme committees
including ISWC, ESWC, and WWW. She is an organiser
of Kerry is married, mother to four children,
director of Frisson Entertainment which operates
  and a spare-time farmer in the beautiful Central
West of NSW.",,,
690,See and,,,
691,"Mike received his 4-year BSc (first class Hons) in
2014 from Kyambogo University in Uganda with the support
of the meritorious Uganda government undergraduate
scholarship (only for the best 1% of students
countrywide) and emerged as thetop best student
amongstall graduating students during that year
with CGPA of 4.71/5.00 (Vice Chancellors List). In
2015, he received the international Chinese government
scholarship to continue his studies. He later
obtained his MEng in materials science (CGPA 91.6/100)
from Donghua University, Shanghai-China in
2018 with his thesis focusing on fibrous materials
for flexible energy storage applications under the
co-supervision of Prof. Meifang Zhu (Academician
CAS) and Dr Shengyuan Yang. He is currently a PhD
candidate at the Australian National University,
Canberra with the major focus on semiconducting 2D
materials for future photovoltaics and receiving
his research support from the Australian Government
Research Training Program (RTP) Scholarship. He
also explores photoluminescence spectroscopy studies
of various semiconductors (for example; silicon,
perovskites, and other similar emerging novel materials)
and fluorescent polymer materials for a wide
range of applications. Mike still does active
research in the field of energy storage (batteries
and capacitors). Member of the American Chemical
Society (ACS), the Royal Society of Chemistry (RSC),
the International Society of Electrochemistry (ISE)
and  ",,,
695,"I am a professor of Computer Science at ANU. I received
a PhD in computer science from the university
of Rennes and CNRS in 1995, and before joining the
ANU, I held research appointments with the national
research centers INRIA in France and with CSIRO
in Australia. In the recent past, I was the director
of NICTA's Canberra Laboratories, home to 150
researchers and PhD students, and the Associate Dean
Research for the College of Engineering and Computer
Science. I am a co-Editor in Chief of the Artificial
Intelligence journal (AIJ), a former president
of the International Conference on Automated
Planning and Scheduling (ICAPS), associate editor
of JAIR, and Councilor of the Association for the
Advancement of Artificial Intelligence (AAAI). 
 ",,"My interests are in artificial intelligence and optimisation,
in particular automated planning and scheduling,
model-based diagnosis, combinatorial optimisation
and search, reasoning under uncertainty,
and their applications to energy and transport. I
have published over 100 papers in these areas. For
details, see my  .",
697,"I'm interested in information retrieval, particularly
in how people use search systems and how we should
evaluate search systems. Publications and other
details are at my Microsoft homepage: .",,Information retrieval,
698,,,"Creating html that formats incorrectly in Internet
Explorer since '95.",
700,,,"Nonclassical logics, Automated reasoning, Verification
and Synthesis of systems",
703,"I obtained my PhD degree from the Pennsylvania State
University in 2004. I spent about a year as a visiting
student at Ecole Polytechnique (France) during
my PhD. I did a one-year postdoc at LORIA/INRIA
Lorraine (2004 - 2005), prior to joining the ANU
in 2006. In 2013-2017 I worked as an assistant professor
at NTU Singapore. I rejoined ANU in late 2017.
",,,
707,,,"If you are a prospective or current student looking
for research projects, see  for an up-to-date list
potential topics.",
708,"I completed my PhD in Mathematics at the University
of Würzburg in 2002. Before joining the ANU in 2003
I spent a few months as a post-doc at the Ben-Gurion
University of the Negev in Beer-Sheva, Israel
and at the University of Notre Dame in South Bend,
IN, USA.",,"Control theory and observer theory, applications in
robotics, computer vision and wireless communication.",
710,"George was awarded his PhD in Chemistry in 2005 from
the University of Wollongong, Australia. Following
his PhD, George took on several positions working
on a broad range of topics:       George then spent
2.5 years between Oct 2015 – Mar 2018 working
in industry as a Research & Development Engineer
in Alkaline Electrolysis Cells at AquaHydrex Pty Ltd,
Australia.      In Sep 2018 George returned to
academic research as a Research Fellow at the Australian
National University, where he is carrying
out research into biomimetic, bubble-free electrolysis
as part of a project funded by the Australian
Renewable Energy Agency (ARENA).",,Expertise:   Research interests:,
715,,,Record Linkage and Privacy-Preserving Record Linkage,
716,"Menkes van den Briel is a member of the optimization
group at NICTA. Menkes is an operations research
professional with a PhD in Industrial Engineering
from Arizona State University. His main research
interests are in combinatorial optimization, mathematical
programming, and automated planning and scheduling,
but he has also worked in other areas and
applications. His past work on airplane boarding
was cited on the front page of The Wall Street Journal
and in numerous other media including The New
York Times, Wired, and NPR. In his spare time Menkes
enjoys hiking and exploring the outdoors. Contact
me if you are looking for fun and challenging
applied research topics.",,"Combinatorial optimization, Applications in energy,
Artificial intelligence planning I help companies
make better decisions using analytics. Optimisation
is the shortest path to impact.",
718,"I completed my Bachelor of Science (Hons) at University
of Moratuwa, Sri Lanka, at the Department of
Computer Science and Engineering. My honours thesis
was on Immersive Virtual Reality systems, focusing
on content generation and rendering. I have completed
an exchange semester doing an internship at
Kartosoft GmbH, Lüneburg, Germany during my Bachelor's.
In 2017, I commenced my PhD in Data Engineering
under the supervision of Prof. Saman Halgamuge
at the Australian National University. My PhD is
focused on gathering information from complex, heterogenous
data. I am currently working on inferring
microbial interactions from timeseries metagenomic
data. This has use cases in gut health and other
biological/ecological areas.   Currently I am a
visiting PhD student at the Optimisation and Pattern
Recognition Research Group at the Department of
Mechanical Engineering of the University of Melbourne.",,"My research interests are in pattern recognition and
turning data into information, focusing on computational
algorithms on doing that cleverly and efficiently.",
719,"I am a Research Fellow in the Software Innovation Institute
at the Australian National University. My
primary area of research is preserving privacy of
individuals through different techniques including
distributed machine learning, differential privacy,
and federated learning. I am also interested in
the area of privacy-preserving record linkage (PPRL)
especially in developing different privacy attacks
on PPRL techniques. My supervisor is Prof. 
.",,"My research interests generally lie in the areas ofdata
privacy and security, data mining, privacy-preserving
record linkage, distributed machine learning,
differential privacy, and federated learning.
 ",
720,"I received M.Sc. degree in Control Systems in 1989
and Ph.D. degree in Physics and Mathematics (with
specialization in Mathematical Cybernetics) in 1992,
from the Department of Control and Applied Mathematics
of the Moscow Institute (State University)
of Physics and Technology (MIPT), Russia. I was a
Senior Research Associate at the State Research Institute
of Aviation Systems in 1993–1997 and the
Institute for Information Transmission Problems, the
Russian Academy of Sciences, Moscow, in 1994–2007,
working in the areas of applied Kalman filtering,
stochastic robust control, hysteresis systems
and spatial discretizations of dynamical systems.
From 1997 to 2008, I held research academic positions
of Research Officer, Research Fellow and Senior
Research Fellow at the Mathematics Department and
School of Engineering at the University of Queensland,
Brisbane, Australia, working under support
of the Australian Research Council in the above areas
and also in stochastic modelling of econometric
time series, lattice models of statistical mechanics
and transport phenomena in random media. In 2000,
I was a visiting research fellow at the School
of Mathematical Sciences, Queen Mary University
of London, working on p-adic analysis of Hamiltonian
roundoff. From 2009 to 2016, I was a Senior Research
Fellow at UNSW Canberra, doing research in the
areas of quantum and stochastic control. In 2013,
I was awarded B.N.Petrov prize of the Russian Academy
of Sciences for my works on the anisotropy-based
theory of stochastic robust filtering and control.",,"My research interests are concerned mainly with the
mathematical systems theory, particularly with stochastic
dynamics and applications to stochastic robust
control and quantum stochastic control. I also
published on probability theoretic aspects of spatial
discretization effects in dynamical systems,
statistical analysis of time series, statistical
mechanical lattice models of interacting particle
systems and multiscale transport phenomena.",
723,"I work for the Australian Research Data Commons.  I'm
the course lecturer for COMP8100: Requirements
Elicitation and Analysis Techniques.",,,
725,,,"Computer Vision, Machine Learning, Scene Understanding",
726,,,"IoT, Blockchain, Machine Learning, Deep Learning",
729,,,"Machine learning, deep learning, Bayesian statistics,
generative models",
731,"2015-2018 Master, Engineering Thermo-physics, Xi'an
Jiaotong University 2011-2015 Bachelor, Energy, Power
System and Automation, Xi'an Jiaotong University",,"Design of a high-performance sodium-based solar tower
system Development of an advanced sodium receiver
",
733,"Jiarui Wang graduated from ANU in December 2019 with
a Bachelor of Engineering (Honours) degree in Electronic
and Communication Systems major. He is currently
a PhD candidate in Audio & Acoustic Signal
Processing group.",,,
735,,,"Model Driven Engineering, Service Science, Service-Oriented
Computing, Web Services, SOA, Software Engineering,
Systems Engineering, Web Engineering, Enterprise
Application Integration, Ubiquitous Computing,
Multi-Agent Systems, Distributed Computing,
Grid Computing",
741,"Zhu Wang graduated from School of Astronautics in Harbin
Institute of Technology, China, with B.Eng.
Degree in Electronic Science and Technology in 2008.
After that, He studied in Department of Electronic
Engineering at City University of Hong Kong, and
graduated with M.Phil. Degree in 2010. He then
joined Centre for Sustainable Energy Systems in College
of Engineering and Computer Science, ANU, to
pursue Ph.D. Degree.",,"Plasmonics, Nanophotonics, Solar Cells Plasmonic nanoparticles
can trap incident sunlight, forming strongly
enhanced field around the particles. This effect
can be used to realize perfect light absorption
in planar extremely-thin semiconductors, making
it possible to fabricate high-efficiency ultra-thin
solar cells with the thickness ~10 nm (1/100000
of a millimetre) using alternative earth-abundant
inorganic semiconductors. This technology has the
potential to significantly reduce the costs and
reshape solar cells. I study Plasmonic Near-Field
Enhancement with aim to fabricate high-efficiency
ultrathin plannar solar cells.",
744,,,"Deep Learning, Human and action recognition, scene
understanding.",
746,,,Programming languages and virtual machines,
747,"• 2018 – present  Lecturer   Australian National University
2013 – 2017 | PhD of Engineering | Australian
National University • 2010 – 2013 | Master of
Power Engineering | Shanghai Jiao Tong University
• 2006 – 2010 | Bachelor of Building Environment
& Equipment Engineering | Nanjing Normal University",,,
754,,,"Dr Klaus Weber is Associate Professor in the Research
School of Engineering at the ANU. His current research
interests include thin Silicon solar cells,
the development of low cost processes for high efficiency
cells including laser processing, surface
passivation, silicon heterojunctions and solar cells
based on novel materials, particularly Perovskite
and Perovskite / Silicon tandem cells. He has
an Engineering degree from the University of Adelaide
and a PhD from the Australian National University.
  He co-invented and developed several thin
film cell technologies including SLIVER technology,
for which he was closely involved in the commercial
development including the current ARENA project
(formerly with Transform Solar). He has been involved
in several other commercially focussed research
projects. He has expertise in silicon cell fabrication
and characterisation, surface passivation,
and laser processing. He has authored over over
140 publications. He is a recipient of the Weeks Award
by the International Solar Energy Society and
the Alan Walsh Medal for Service to Industry by the
Australian Institute of Physics. His work on SLIVER
technology received numerous other awards including
the Banksia Award and the Aichi World Expo
Global Eco-Tech 100 award.   For more information
on his research, visit the pages on  ,  , and  .",
756,"The Dow Chemical Company, 1980-1996 University of Colorado,
1996-present The Australian National University,
2013-present Co-founded ALD NanoSolutions
( ) and Copernican Energy (now part of Sundrop Fuels;
 ); Chief Technical Officer for Sundrop Fuels
from 2008-2011",,"Solarthermal Processing - focus on chemical processing
such as reduction / oxidation reactions, biomass
gasification, natural gas decarbonization, and
integration of solarthermal to end products such as
diesel fuel or hydrogen.",
763,"I am currently reading my PhD at the Australian National
University. My research interests lie broadly
in geometric deep learning techniques on non-Euclidean
data such as graphs and manifolds. My supervisors
are  ,  ,  , and  .",,,
767,,,"My principal research field is the theory and practice
of programming languages such as first- and higher-order
clausal logics, and some constraint logic
programming languages.  My work specifically concerns
model-theoretic and operational semantics,
and empirical and theoretical feasibility analyses
of runtime implementation methods for them. These
include Artificial Intelligence ones such as constraint
solving using search, term rewriting, unification
and matching.  These languages are examples
of Abstract Clauses, a deductive logical framework.
Empirical analyses are enabled by my software,
the Abstract Clause Engine (ACE) for implementing
specific Abstract Clause languages and programs. ACE
is written in Standard ML, and there is a Java
version.  My other research has concerned topics in
the semantics of concurrent object-oriented languages,
linear recurrences such as generalized Fibonacci
sequences, model generation, and Artificial
Intelligence in medical diagnosis.",
770,"Tom Worthington is an independent consulting Certified
Computer Professional and an Adjunct Senior Lecturer
in the Research School of Computer Science
at the ANU. He writes on education issues as "" "" and
more generally as "" "".Tom is also a member of the
ANU Climate Change Institute and Energy Change
Institute. Tom was elected a Fellow of the ACS in
1999 for his contribution to the development of public
Internet policy in Australia. He is a past president,
Fellow and Honorary Life Member of the ACS,
a voting member of the Association for Computing
Machinery and a member of the Institute of Electrical
and Electronics Engineers. Tom is the author
of the award winning ebook and on-line course "" "",
used by universities in Australia and North America.
Recent papers include:",,",  ,  , Metadata, e-commerce and  ,  ,  , Data Management,
Defence IT Policy, National R&D Policy",
776,"Xiaoli Wu is a visiting fellow of ANU College of Engineering
& Computer Science. She is an associate
professor of School of Mechanical and Electrical Engineering
at HoHai University. She received PhD in
Human computer interaction at Southeast University
in 2015.  Dr Xiaoli's reserach area is information
interface of human computer interaction system.
She is researching error-cognition mechanism of
information interface in complex system.",,"Error- Cognition in visual information interface  System
interface display and design  Human factors
in complex information system",
783,,,"My interests are in machine learning, in particular
analysis of social media, multimedia,and spatial-temporal
data. My recent projects include modeling
popularity and tracking real-world events in social
media, building multimedia knowledge graphs, generating
expressive image captions, and social recommendation.
I direct the Computational Media Lab",
