Tags,value
anatomy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
wisdom,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
intestinal microorganisms,DIVISION 06 BIOLOGICAL SCIENCES
hong kong,DIVISION 24 OTHERS(IRRELEVANT)
territories,DIVISION 05 ENVIRONMENTAL SCIENCES
excellence,DIVISION 24 OTHERS(IRRELEVANT)
proteomics,DIVISION 06 BIOLOGICAL SCIENCES
community participation,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
diagnostic,DIVISION 11 MEDICAL AND HEALTH SCIENCES
vocational education,DIVISION 13 EDUCATION
materiality,DIVISION 09 ENGINEERING
financial crisis,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
pyrus,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
education sector,DIVISION 16 STUDIES IN HUMAN SOCIETY
taxonomy,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
victoria,DIVISION 24 OTHERS(IRRELEVANT)
urban planning,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
principal component analysis,DIVISION 03 CHEMICAL SCIENCES
spiperone,DIVISION 11 MEDICAL AND HEALTH SCIENCES
prose,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
content analysis,DIVISION 23 OTHERS(RELEVANT)
health workforce,DIVISION 11 MEDICAL AND HEALTH SCIENCES
queensland,DIVISION 24 OTHERS(IRRELEVANT)
walkers,DIVISION 24 OTHERS(IRRELEVANT)
sensor networks,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
bacterial artificial chromosomes,DIVISION 06 BIOLOGICAL SCIENCES
pharmacology,DIVISION 11 MEDICAL AND HEALTH SCIENCES
lesions (animal),DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
mental health care,DIVISION 11 MEDICAL AND HEALTH SCIENCES
citizen,DIVISION 16 STUDIES IN HUMAN SOCIETY
registries,DIVISION 24 OTHERS(IRRELEVANT)
society,DIVISION 16 STUDIES IN HUMAN SOCIETY
gestational weight gain,DIVISION 11 MEDICAL AND HEALTH SCIENCES
grammar,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
disinformation,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
biosecurity,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
language,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
follower,DIVISION 09 ENGINEERING
disruption,DIVISION 11 MEDICAL AND HEALTH SCIENCES
indicator,DIVISION 23 OTHERS(RELEVANT)
environmental amenities,DIVISION 05 ENVIRONMENTAL SCIENCES
france,DIVISION 24 OTHERS(IRRELEVANT)
policy approach,DIVISION 16 STUDIES IN HUMAN SOCIETY
farmer,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
humidity,DIVISION 05 ENVIRONMENTAL SCIENCES
cultural economy,DIVISION 14 ECONOMICS
complementarity,DIVISION 01 MATHEMATICAL SCIENCES
epidemiologic studies,DIVISION 11 MEDICAL AND HEALTH SCIENCES
attribute,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
senate,DIVISION 16 STUDIES IN HUMAN SOCIETY
network meta-analysis,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
federation,DIVISION 16 STUDIES IN HUMAN SOCIETY
galaxiidae,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
regulatory reform,DIVISION 16 STUDIES IN HUMAN SOCIETY
self-determination,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
designer,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
studios,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
dreams,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
magnetic resonance imaging,DIVISION 11 MEDICAL AND HEALTH SCIENCES
ankle joint,DIVISION 11 MEDICAL AND HEALTH SCIENCES
first-year student,DIVISION 13 EDUCATION
aging of materials,DIVISION 09 ENGINEERING
niche,DIVISION 24 OTHERS(IRRELEVANT)
arsenosugar,DIVISION 03 CHEMICAL SCIENCES
group work,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
theory-practice,DIVISION 23 OTHERS(RELEVANT)
prototype,DIVISION 09 ENGINEERING
resuscitation,DIVISION 23 OTHERS(RELEVANT)
grounding,DIVISION 10 TECHNOLOGY
social identification,DIVISION 16 STUDIES IN HUMAN SOCIETY
history of architecture,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
educational opportunity,DIVISION 13 EDUCATION
mobile phone,DIVISION 10 TECHNOLOGY
haiku,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
kinematics,DIVISION 11 MEDICAL AND HEALTH SCIENCES
levodopa,DIVISION 11 MEDICAL AND HEALTH SCIENCES
user interface,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
abdominal obesity,DIVISION 11 MEDICAL AND HEALTH SCIENCES
academic achievement,DIVISION 24 OTHERS(IRRELEVANT)
access to health care,DIVISION 11 MEDICAL AND HEALTH SCIENCES
accessibility,DIVISION 24 OTHERS(IRRELEVANT)
accounting,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
accounting curriculum,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
action plan,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
activation,DIVISION 24 OTHERS(IRRELEVANT)
actor-network-theory,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
acute care,DIVISION 11 MEDICAL AND HEALTH SCIENCES
adelaide,DIVISION 24 OTHERS(IRRELEVANT)
adiposity,DIVISION 11 MEDICAL AND HEALTH SCIENCES
age group,DIVISION 16 STUDIES IN HUMAN SOCIETY
agricultural land,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
alcohol,DIVISION 11 MEDICAL AND HEALTH SCIENCES
amphibian,DIVISION 06 BIOLOGICAL SCIENCES
analytical framework,DIVISION 23 OTHERS(RELEVANT)
anchors,DIVISION 23 OTHERS(RELEVANT)
animal,DIVISION 06 BIOLOGICAL SCIENCES
ankle,DIVISION 11 MEDICAL AND HEALTH SCIENCES
ankle injuries,DIVISION 11 MEDICAL AND HEALTH SCIENCES
anomaly detection,DIVISION 09 ENGINEERING
antagonism,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
anthology,DIVISION 24 OTHERS(IRRELEVANT)
anthropometry,DIVISION 11 MEDICAL AND HEALTH SCIENCES
anti-bacterial agents,DIVISION 11 MEDICAL AND HEALTH SCIENCES
anticoagulants,DIVISION 11 MEDICAL AND HEALTH SCIENCES
antigens,DIVISION 06 BIOLOGICAL SCIENCES
anura,DIVISION 06 BIOLOGICAL SCIENCES
application programs,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
aptitude,DIVISION 24 OTHERS(IRRELEVANT)
aquatic ecosystems,DIVISION 05 ENVIRONMENTAL SCIENCES
arab,DIVISION 24 OTHERS(IRRELEVANT)
area under curve,DIVISION 01 MATHEMATICAL SCIENCES
artwork,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
aspirin,DIVISION 11 MEDICAL AND HEALTH SCIENCES
assay,DIVISION 06 BIOLOGICAL SCIENCES
assistance,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
assistant,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
athletic performance,DIVISION 11 MEDICAL AND HEALTH SCIENCES
attitude to health,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
authenticity,DIVISION 24 OTHERS(IRRELEVANT)
automation,DIVISION 09 ENGINEERING
aviation,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
bachelor,DIVISION 24 OTHERS(IRRELEVANT)
bacteria,DIVISION 06 BIOLOGICAL SCIENCES
banking industry,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
basins,DIVISION 04 EARTH SCIENCES
best practice,DIVISION 24 OTHERS(IRRELEVANT)
biogeography,DIVISION 06 BIOLOGICAL SCIENCES
biomarkers,DIVISION 06 BIOLOGICAL SCIENCES
bird,DIVISION 06 BIOLOGICAL SCIENCES
bitcoin,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
blended learning,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
blindness,DIVISION 11 MEDICAL AND HEALTH SCIENCES
blood glucose,DIVISION 11 MEDICAL AND HEALTH SCIENCES
body weight changes,DIVISION 11 MEDICAL AND HEALTH SCIENCES
border,DIVISION 16 STUDIES IN HUMAN SOCIETY
brazil,DIVISION 24 OTHERS(IRRELEVANT)
broadcast,DIVISION 10 TECHNOLOGY
buffers,DIVISION 24 OTHERS(IRRELEVANT)
built environment,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
bullying,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
burden,DIVISION 24 OTHERS(IRRELEVANT)
bureaucracy,DIVISION 16 STUDIES IN HUMAN SOCIETY
cacodylic acid,DIVISION 06 BIOLOGICAL SCIENCES
campaign,DIVISION 16 STUDIES IN HUMAN SOCIETY
canada,DIVISION 24 OTHERS(IRRELEVANT)
cardiovascular diseases,DIVISION 11 MEDICAL AND HEALTH SCIENCES
case-control studies,DIVISION 11 MEDICAL AND HEALTH SCIENCES
cash flow,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
catalysts,DIVISION 03 CHEMICAL SCIENCES
catchments,DIVISION 05 ENVIRONMENTAL SCIENCES
celebrity,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
cell phone,DIVISION 09 ENGINEERING
cells,DIVISION 06 BIOLOGICAL SCIENCES
cellular networks,DIVISION 10 TECHNOLOGY
cellular telephones,DIVISION 10 TECHNOLOGY
censuses,DIVISION 16 STUDIES IN HUMAN SOCIETY
cerebrovascular circulation,DIVISION 11 MEDICAL AND HEALTH SCIENCES
certification,DIVISION 24 OTHERS(IRRELEVANT)
cesarean section,DIVISION 11 MEDICAL AND HEALTH SCIENCES
checklist,DIVISION 24 OTHERS(IRRELEVANT)
cheese,DIVISION 09 ENGINEERING
chemical analysis,DIVISION 03 CHEMICAL SCIENCES
chemistry,DIVISION 03 CHEMICAL SCIENCES
child care,DIVISION 11 MEDICAL AND HEALTH SCIENCES
chronic disease,DIVISION 11 MEDICAL AND HEALTH SCIENCES
chronic illness,DIVISION 11 MEDICAL AND HEALTH SCIENCES
chronic kidney failure,DIVISION 11 MEDICAL AND HEALTH SCIENCES
city center,DIVISION 16 STUDIES IN HUMAN SOCIETY
classroom,DIVISION 13 EDUCATION
climate policy,DIVISION 05 ENVIRONMENTAL SCIENCES
clinician,DIVISION 11 MEDICAL AND HEALTH SCIENCES
clothing,DIVISION 09 ENGINEERING
coach,DIVISION 13 EDUCATION
co-creation,DIVISION 24 OTHERS(IRRELEVANT)
coding,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
cognitive behavioral therapy,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
cognitive dysfunction,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
cohort studies,DIVISION 23 OTHERS(RELEVANT)
cold temperature,DIVISION 23 OTHERS(RELEVANT)
collective behavior,DIVISION 16 STUDIES IN HUMAN SOCIETY
commonwealth,DIVISION 16 STUDIES IN HUMAN SOCIETY
community research,DIVISION 16 STUDIES IN HUMAN SOCIETY
company value,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
comparative study,DIVISION 23 OTHERS(RELEVANT)
competitiveness,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
complementary therapies,DIVISION 11 MEDICAL AND HEALTH SCIENCES
computer vision,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
conceptual model,DIVISION 23 OTHERS(RELEVANT)
concretes,DIVISION 03 CHEMICAL SCIENCES
confidentiality,DIVISION 24 OTHERS(IRRELEVANT)
conflict,DIVISION 24 OTHERS(IRRELEVANT)
conflict (psychology),DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
conservation management,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
contact,DIVISION 24 OTHERS(IRRELEVANT)
contagious disease,DIVISION 11 MEDICAL AND HEALTH SCIENCES
contextual factors,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
contingency,DIVISION 09 ENGINEERING
control groups,DIVISION 23 OTHERS(RELEVANT)
cooling,DIVISION 09 ENGINEERING
coping,DIVISION 24 OTHERS(IRRELEVANT)
coproduction,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
correctional institution,DIVISION 11 MEDICAL AND HEALTH SCIENCES
crack,DIVISION 23 OTHERS(RELEVANT)
creative writing,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
credibility,DIVISION 23 OTHERS(RELEVANT)
criminal investigation,DIVISION 16 STUDIES IN HUMAN SOCIETY
criminal justice systems,DIVISION 16 STUDIES IN HUMAN SOCIETY
criminology,DIVISION 16 STUDIES IN HUMAN SOCIETY
critic,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
critical care,DIVISION 11 MEDICAL AND HEALTH SCIENCES
cross-over studies,DIVISION 23 OTHERS(RELEVANT)
cross-sectional studies,DIVISION 23 OTHERS(RELEVANT)
cultural geography,DIVISION 16 STUDIES IN HUMAN SOCIETY
cultural relations,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
curricula,DIVISION 13 EDUCATION
customer,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
cyberbullying,DIVISION 16 STUDIES IN HUMAN SOCIETY
cytogenetics,DIVISION 06 BIOLOGICAL SCIENCES
cytokines,DIVISION 06 BIOLOGICAL SCIENCES
czech republic,DIVISION 24 OTHERS(IRRELEVANT)
damage,DIVISION 24 OTHERS(IRRELEVANT)
dams,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
dance,DIVISION 13 EDUCATION
dancing,DIVISION 13 EDUCATION
data analytics,DIVISION 23 OTHERS(RELEVANT)
data collection,DIVISION 23 OTHERS(RELEVANT)
data quality,DIVISION 23 OTHERS(RELEVANT)
data science,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
databases,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
datasets,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
deception,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
deficit,DIVISION 16 STUDIES IN HUMAN SOCIETY
delphi technique,DIVISION 11 MEDICAL AND HEALTH SCIENCES
democratization,DIVISION 16 STUDIES IN HUMAN SOCIETY
denmark,DIVISION 24 OTHERS(IRRELEVANT)
deprescriptions,DIVISION 11 MEDICAL AND HEALTH SCIENCES
descriptive statistics,DIVISION 01 MATHEMATICAL SCIENCES
desert,DIVISION 05 ENVIRONMENTAL SCIENCES
detectors,DIVISION 09 ENGINEERING
detention,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
determinants,DIVISION 24 OTHERS(IRRELEVANT)
deuterium,DIVISION 03 CHEMICAL SCIENCES
development model,DIVISION 16 STUDIES IN HUMAN SOCIETY
development strategy,DIVISION 16 STUDIES IN HUMAN SOCIETY
dietetics,DIVISION 11 MEDICAL AND HEALTH SCIENCES
dietitians,DIVISION 11 MEDICAL AND HEALTH SCIENCES
director,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
disabled persons,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
disclosure,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
discrimination law,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
dismantling,DIVISION 09 ENGINEERING
display devices,DIVISION 09 ENGINEERING
district,DIVISION 16 STUDIES IN HUMAN SOCIETY
dna,DIVISION 11 MEDICAL AND HEALTH SCIENCES
dna barcoding,DIVISION 11 MEDICAL AND HEALTH SCIENCES
docosahexaenoic acids,DIVISION 06 BIOLOGICAL SCIENCES
donna haraway,DIVISION 24 OTHERS(IRRELEVANT)
dopamine,DIVISION 06 BIOLOGICAL SCIENCES
drainage,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
drinking,DIVISION 11 MEDICAL AND HEALTH SCIENCES
drug,DIVISION 11 MEDICAL AND HEALTH SCIENCES
drug-related side effects and adverse reactions,DIVISION 11 MEDICAL AND HEALTH SCIENCES
economic development,DIVISION 14 ECONOMICS
economic status,DIVISION 14 ECONOMICS
economic success,DIVISION 14 ECONOMICS
ecosystem function,DIVISION 05 ENVIRONMENTAL SCIENCES
ecosystems,DIVISION 05 ENVIRONMENTAL SCIENCES
educational setting,DIVISION 13 EDUCATION
effect,DIVISION 24 OTHERS(IRRELEVANT)
efficacy,DIVISION 09 ENGINEERING
ehealth,DIVISION 11 MEDICAL AND HEALTH SCIENCES
elderly,DIVISION 16 STUDIES IN HUMAN SOCIETY
election,DIVISION 16 STUDIES IN HUMAN SOCIETY
electricity,DIVISION 09 ENGINEERING
electrodes,DIVISION 03 CHEMICAL SCIENCES
electroencephalogram,DIVISION 11 MEDICAL AND HEALTH SCIENCES
electronics,DIVISION 09 ENGINEERING
eleocharis,DIVISION 06 BIOLOGICAL SCIENCES
emerging markets,DIVISION 14 ECONOMICS
employability,DIVISION 14 ECONOMICS
end effectors,DIVISION 10 TECHNOLOGY
energy consumption,DIVISION 16 STUDIES IN HUMAN SOCIETY
energy metabolism,DIVISION 06 BIOLOGICAL SCIENCES
engagement,DIVISION 24 OTHERS(IRRELEVANT)
engineering,DIVISION 09 ENGINEERING
entrepreneurship,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
environmental impact,DIVISION 05 ENVIRONMENTAL SCIENCES
environmental justice,DIVISION 05 ENVIRONMENTAL SCIENCES
environmental law,DIVISION 05 ENVIRONMENTAL SCIENCES
environmental management,DIVISION 05 ENVIRONMENTAL SCIENCES
ephemeroptera,DIVISION 06 BIOLOGICAL SCIENCES
episodic memory,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
erosion,DIVISION 03 CHEMICAL SCIENCES
error correction,DIVISION 24 OTHERS(IRRELEVANT)
estuaries,DIVISION 04 EARTH SCIENCES
ethical concerns,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
ethical issues,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
ethics,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
europe,DIVISION 24 OTHERS(IRRELEVANT)
european commission,DIVISION 24 OTHERS(IRRELEVANT)
european union,DIVISION 24 OTHERS(IRRELEVANT)
event,DIVISION 24 OTHERS(IRRELEVANT)
everyday life,DIVISION 24 OTHERS(IRRELEVANT)
evidence-based practice,DIVISION 06 BIOLOGICAL SCIENCES
examiner,DIVISION 24 OTHERS(IRRELEVANT)
exclusion,DIVISION 24 OTHERS(IRRELEVANT)
executive function,DIVISION 23 OTHERS(RELEVANT)
experience,DIVISION 23 OTHERS(RELEVANT)
experiments,DIVISION 23 OTHERS(RELEVANT)
explosive agents,DIVISION 03 CHEMICAL SCIENCES
exposure,DIVISION 23 OTHERS(RELEVANT)
eyeglasses,DIVISION 09 ENGINEERING
factors,DIVISION 23 OTHERS(RELEVANT)
family conflict,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
farm,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
farming,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
fasting,DIVISION 11 MEDICAL AND HEALTH SCIENCES
fats,DIVISION 09 ENGINEERING
fear,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
feature extraction,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
feces,DIVISION 06 BIOLOGICAL SCIENCES
federal government,DIVISION 16 STUDIES IN HUMAN SOCIETY
feedback,DIVISION 23 OTHERS(RELEVANT)
feeding behavior,DIVISION 06 BIOLOGICAL SCIENCES
femur,DIVISION 11 MEDICAL AND HEALTH SCIENCES
fever,DIVISION 11 MEDICAL AND HEALTH SCIENCES
fiction,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
field research,DIVISION 23 OTHERS(RELEVANT)
fiji,DIVISION 24 OTHERS(IRRELEVANT)
finland,DIVISION 24 OTHERS(IRRELEVANT)
fluoroscopy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
focus groups,DIVISION 24 OTHERS(IRRELEVANT)
food technology,DIVISION 10 TECHNOLOGY
food waste,DIVISION 16 STUDIES IN HUMAN SOCIETY
food web,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
football,DIVISION 13 EDUCATION
forest management,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
formal social control,DIVISION 16 STUDIES IN HUMAN SOCIETY
fragmentation,DIVISION 24 OTHERS(IRRELEVANT)
frog,DIVISION 06 BIOLOGICAL SCIENCES
frustration,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
fungus,DIVISION 06 BIOLOGICAL SCIENCES
fuzzy logic,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
gardening,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
gels,DIVISION 06 BIOLOGICAL SCIENCES
gender role,DIVISION 16 STUDIES IN HUMAN SOCIETY
general practice,DIVISION 23 OTHERS(RELEVANT)
general practitioners,DIVISION 11 MEDICAL AND HEALTH SCIENCES
genetic analysis,DIVISION 06 BIOLOGICAL SCIENCES
geometry,DIVISION 01 MATHEMATICAL SCIENCES
geopolitics,DIVISION 16 STUDIES IN HUMAN SOCIETY
germination,DIVISION 06 BIOLOGICAL SCIENCES
glass,DIVISION 03 CHEMICAL SCIENCES
global governance,DIVISION 16 STUDIES IN HUMAN SOCIETY
global positioning system,DIVISION 04 EARTH SCIENCES
glucose,DIVISION 11 MEDICAL AND HEALTH SCIENCES
glycated hemoglobin a,DIVISION 11 MEDICAL AND HEALTH SCIENCES
gold standard,DIVISION 14 ECONOMICS
governance arrangement,DIVISION 16 STUDIES IN HUMAN SOCIETY
government regulation,DIVISION 16 STUDIES IN HUMAN SOCIETY
governmentality,DIVISION 16 STUDIES IN HUMAN SOCIETY
graduate,DIVISION 13 EDUCATION
grant,DIVISION 13 EDUCATION
gray literature,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
guarantee,DIVISION 24 OTHERS(IRRELEVANT)
hair,DIVISION 24 OTHERS(IRRELEVANT)
hamstring muscles,DIVISION 11 MEDICAL AND HEALTH SCIENCES
handover,DIVISION 24 OTHERS(IRRELEVANT)
hdl cholesterol,DIVISION 11 MEDICAL AND HEALTH SCIENCES
head,DIVISION 24 OTHERS(IRRELEVANT)
head and neck neoplasms,DIVISION 11 MEDICAL AND HEALTH SCIENCES
health care providers,DIVISION 11 MEDICAL AND HEALTH SCIENCES
health services accessibility,DIVISION 11 MEDICAL AND HEALTH SCIENCES
health surveys,DIVISION 11 MEDICAL AND HEALTH SCIENCES
healthcare,DIVISION 11 MEDICAL AND HEALTH SCIENCES
heart diseases,DIVISION 11 MEDICAL AND HEALTH SCIENCES
heart failure,DIVISION 11 MEDICAL AND HEALTH SCIENCES
heat,DIVISION 23 OTHERS(RELEVANT)
heritage,DIVISION 21 HISTORY AND ARCHAEOLOGY
hip,DIVISION 11 MEDICAL AND HEALTH SCIENCES
historic,DIVISION 21 HISTORY AND ARCHAEOLOGY
hiv,DIVISION 11 MEDICAL AND HEALTH SCIENCES
home care,DIVISION 11 MEDICAL AND HEALTH SCIENCES
home care services,DIVISION 11 MEDICAL AND HEALTH SCIENCES
hospital departments,DIVISION 11 MEDICAL AND HEALTH SCIENCES
hotels,DIVISION 24 OTHERS(IRRELEVANT)
human,DIVISION 16 STUDIES IN HUMAN SOCIETY
human body,DIVISION 11 MEDICAL AND HEALTH SCIENCES
human computer interaction,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
human influenza,DIVISION 11 MEDICAL AND HEALTH SCIENCES
hybridization,DIVISION 06 BIOLOGICAL SCIENCES
hydrocortisone,DIVISION 11 MEDICAL AND HEALTH SCIENCES
hyperoxia,DIVISION 11 MEDICAL AND HEALTH SCIENCES
hypertension,DIVISION 11 MEDICAL AND HEALTH SCIENCES
identification (control systems),DIVISION 01 MATHEMATICAL SCIENCES
imagery,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
imagination,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
immigrants,DIVISION 16 STUDIES IN HUMAN SOCIETY
immunity,DIVISION 11 MEDICAL AND HEALTH SCIENCES
impetigo,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
impurities,DIVISION 03 CHEMICAL SCIENCES
incidence,DIVISION 11 MEDICAL AND HEALTH SCIENCES
income inequality,DIVISION 14 ECONOMICS
independent living,DIVISION 16 STUDIES IN HUMAN SOCIETY
index,DIVISION 24 OTHERS(IRRELEVANT)
indigenous peoples,DIVISION 16 STUDIES IN HUMAN SOCIETY
industry 4.0,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
inflammation,DIVISION 11 MEDICAL AND HEALTH SCIENCES
infrastructure projects,DIVISION 09 ENGINEERING
insecticide,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
insurance benefits,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
intercultural skills,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
interdependence,DIVISION 23 OTHERS(RELEVANT)
interdisciplinary research,DIVISION 23 OTHERS(RELEVANT)
interleukin-6,DIVISION 11 MEDICAL AND HEALTH SCIENCES
internal migration,DIVISION 16 STUDIES IN HUMAN SOCIETY
internship and residency,DIVISION 23 OTHERS(RELEVANT)
interpretation,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
ireland,DIVISION 24 OTHERS(IRRELEVANT)
joints,DIVISION 11 MEDICAL AND HEALTH SCIENCES
keratinophilic fungi,DIVISION 06 BIOLOGICAL SCIENCES
kinetics,DIVISION 03 CHEMICAL SCIENCES
knee joint,DIVISION 11 MEDICAL AND HEALTH SCIENCES
knee osteoarthritis,DIVISION 11 MEDICAL AND HEALTH SCIENCES
knowledge economy,DIVISION 14 ECONOMICS
knowledge management,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
knowledge production,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
lack,DIVISION 24 OTHERS(IRRELEVANT)
law,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
law and order,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
lawyer,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
learning disorder,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
learning strategy,DIVISION 13 EDUCATION
lebanon,DIVISION 24 OTHERS(IRRELEVANT)
legal history,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
legitimacy,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
leisure activities,DIVISION 24 OTHERS(IRRELEVANT)
liberalism,DIVISION 16 STUDIES IN HUMAN SOCIETY
life style,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
limnology,DIVISION 04 EARTH SCIENCES
linear models,DIVISION 01 MATHEMATICAL SCIENCES
lipopolysaccharide-binding protein,DIVISION 10 TECHNOLOGY
lipopolysaccharides,DIVISION 10 TECHNOLOGY
lizards,DIVISION 06 BIOLOGICAL SCIENCES
local communities,DIVISION 16 STUDIES IN HUMAN SOCIETY
long short-term memory,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
long term evolution (lte),DIVISION 08 INFORMATION AND COMPUTING SCIENCES
